gene1,gene2
ENSG00000225914,ENSG00000204287
ENSG00000224478,ENSG00000253371
ENSG00000240254,ENSG00000026036
ENSG00000204301,ENSG00000196735
ENSG00000204351,ENSG00000204290
ENSG00000235040,ENSG00000241106
ENSG00000198563,ENSG00000204290
ENSG00000232629,ENSG00000240065
ENSG00000123329,ENSG00000202398
ENSG00000143537,ENSG00000231918
ENSG00000235040,ENSG00000204267
ENSG00000204287,ENSG00000196126
ENSG00000183166,ENSG00000165029
ENSG00000204301,ENSG00000204287
ENSG00000204296,ENSG00000204287
ENSG00000203963,ENSG00000162594
ENSG00000167207,ENSG00000261703
ENSG00000232080,ENSG00000204267
ENSG00000204296,ENSG00000179344
ENSG00000198563,ENSG00000204287
ENSG00000114268,ENSG00000114316
ENSG00000162594,ENSG00000252116
ENSG00000241106,ENSG00000240065
ENSG00000204296,ENSG00000228962
ENSG00000253123,ENSG00000249489
ENSG00000232809,ENSG00000169783
ENSG00000204301,ENSG00000204287
ENSG00000250347,ENSG00000228482
ENSG00000204301,ENSG00000204287
ENSG00000261272,ENSG00000243649
